onet_code,skill_clean,importance,skill,source
11-2011.00,extensible markup language xml,3.0,Extensible markup language XML,tech
11-2011.00,facebook,3.0,Facebook,tech
11-2011.00,google ads,3.0,Google Ads,tech
11-2011.00,google analytics,3.0,Google Analytics,tech
11-2011.00,google doubleclick,3.0,Google DoubleClick,tech
11-2011.00,hootsuite,3.0,Hootsuite,tech
11-2011.00,hubspot software,3.0,HubSpot software,tech
11-2011.00,hypertext markup language html,3.0,Hypertext markup language HTML,tech
11-2011.00,ibm lotus notes,3.0,IBM Lotus Notes,tech
11-2011.00,instagram,3.0,Instagram,tech
11-2011.00,instructing,2.88,Instructing,skill
11-2011.00,inventory tracking software,3.0,Inventory tracking software,tech
11-2011.00,javascript,3.0,JavaScript,tech
11-2011.00,judgment and decision making,3.75,Judgment and Decision Making,skill
11-2011.00,learning strategies,3.0,Learning Strategies,skill
11-2011.00,linkedin,3.0,LinkedIn,tech
11-2011.00,mailchimp,3.0,MailChimp,tech
11-2011.00,management of financial resources,2.75,Management of Financial Resources,skill
11-2011.00,management of material resources,2.62,Management of Material Resources,skill
11-2011.00,management of personnel resources,3.12,Management of Personnel Resources,skill
11-2011.00,marketo marketing automation,3.0,Marketo Marketing Automation,tech
11-2011.00,marketsharp,3.0,MarketSharp,tech
11-2011.00,mathematics,3.16,Mathematics,skill
11-2011.00,microsoft access,3.0,Microsoft Access,tech
11-2011.00,microsoft dynamics,3.0,Microsoft Dynamics,tech
11-2011.00,microsoft dynamics marketing,3.0,Microsoft Dynamics Marketing,tech
11-2011.00,microsoft excel,3.0,Microsoft Excel,tech
11-2011.00,microsoft office software,3.0,Microsoft Office software,tech
11-2011.00,microsoft outlook,3.0,Microsoft Outlook,tech
11-2011.00,microsoft powerpoint,3.0,Microsoft PowerPoint,tech
11-2011.00,microsoft project,3.0,Microsoft Project,tech
11-2011.00,microsoft publisher,3.0,Microsoft Publisher,tech
11-2011.00,microsoft sharepoint,3.0,Microsoft SharePoint,tech
11-2011.00,microsoft sql server,3.0,Microsoft SQL Server,tech
11-2011.00,microsoft windows,3.0,Microsoft Windows,tech
11-2011.00,microsoft word,3.0,Microsoft Word,tech
11-2011.00,monitoring,3.25,Monitoring,skill
11-2011.00,negotiation,3.12,Negotiation,skill
11-2011.00,operations analysis,2.75,Operations Analysis,skill
11-2011.00,oracle eloqua,3.0,Oracle Eloqua,tech
